name,gender,origins
Erminigild,m,Germanic
Erminio,m,Italian
Erminlinda,f,Germanic
Ermintrude,f,English (Archaic)
Ermioni,f,Greek
Ermir,m,Albanian
Ermira,f,Albanian
Ermis,m,Greek
Ermo,m,Medieval Italian
Ermolai,m,Russian (Rare)
Ern,m,English
Erna 1,f,"German, Dutch, Danish, Norwegian, Swedish, Slovene"
Erna 2,f,"Norse Mythology, Icelandic, Danish, Norwegian, Swedish"
Ernar,m,Kazakh
Ernest,m,"English, French, Catalan, Polish, Slovak, Slovene"
Ernesta,f,"Italian, Lithuanian"
Ernestas,m,Lithuanian
Ernestina,f,"Italian, Spanish, Portuguese"
Ernestine,f,"French, German, English"
Ernesto,m,"Italian, Spanish, Portuguese"
Ernests,m,Latvian
Erni,f,German
Ernie,m,English
Erno,m,Finnish
Ernő,m,Hungarian
Ernst,m,"German, Dutch, Danish, Norwegian, Swedish"
Ernūr,m,Kazakh
Ernust,m,Germanic
Erol,m,Turkish
Eros,m,"Greek Mythology, Italian"
Erramun,m,Basque
Errol,m,English
Ersi,f,Greek
Ersilia,f,Italian
Ersin,m,Turkish
Erskine,m,English (Rare)
Ersūltan,m,Kazakh
Ertuğrul,m,Turkish
Eruand,m,Ancient Armenian
Erva,f,Turkish
Ervin,m,"Hungarian, Albanian, Croatian, Estonian"
Ervīns,m,Latvian
Ervis,m,Albanian
Erwan,m,Breton
Erwann,m,Breton
Erwin,m,"German, Dutch, Polish, Germanic"
Eryk,m,Polish
Eryka,f,Polish
Erykah,f,English (Modern)
Eryn,f,English (Modern)
Erzhan,m,Kazakh
Erzsébet,f,Hungarian
Erzsi,f,Hungarian
Esa,m,Finnish
Esaias,m,"Biblical Greek, Biblical Latin, Biblical"
Esam,m,Arabic
'Esar-Haddon,m,Biblical Hebrew
Esarhaddon,m,"Biblical, Ancient Assyrian (Anglicized)"
Esau,m,"Biblical, Biblical Latin, Biblical Greek"
'Esaw,m,Biblical Hebrew
Esben,m,"Danish, Norwegian"
Esbjörn,m,Swedish
Escolástica,f,Spanish
Esdras,m,"Biblical, Biblical Greek"
Ese,f,Urhobo
Ešeeva'e,f,Cheyenne
Eseld,f,Cornish
Esen,f,Turkish
Eseoghene,m,Urhobo
Eser,f,Turkish
Esfir,f,Russian
Esha,f,Hindi
Eshe,f,Swahili
Esi,f,Akan
Esila,f,Turkish (Modern)
Esin,f,Turkish
Eskandar,m,Persian
Eskarne,f,Basque (Rare)
Eskender,m,Amharic
Eskil,m,"Norwegian, Swedish, Danish"
Eskinder,m,Amharic
Esko,m,Finnish
Eslam,m,"Persian, Arabic"
Eslem,f,Turkish (Modern)
Esma,f,"Turkish, Bosnian"
Esmae,f,English (Modern)
Esmaeel,m,Persian
Esmaeil,m,Persian
Esmail,m,"Persian, Arabic"
Esmanur,f,Turkish
Esmaralda,f,English (Rare)
Esmat,f,"Persian, Arabic"
Esmatullah,m,Pashto
Esme,f,English
Esmé,f,English
Esmée,f,"English (British), Dutch"
Esmee,f,"English (British), Dutch"
Esmeralda,f,"Spanish, Portuguese, English, Albanian, Literature"
Esmond,m,English (Rare)
Esmund,m,English (Rare)
Espen,m,Norwegian
Esperança,f,"Portuguese, Catalan"
Espérance,f,French
Esperanta,f,Esperanto
Esperanza,f,Spanish
Espiridión,m,Spanish (Rare)
Eşqin,m,Azerbaijani
Esra,f,Turkish
Esraa,f,Arabic
Eşref,m,Turkish
Essa,m,Arabic
Essam,m,Arabic
Essence,f,English (Modern)
Essi,f,Finnish
Essie,f,English
Essil,f,Arabic (Maghrebi)
Esta,f,English
Estanislao,m,Spanish
Esteban,m,Spanish
Estebe,m,Basque
Estee,f,Jewish
Estéfani,f,Portuguese (Brazilian)
Estefânia,f,Portuguese
Estefanía,f,Spanish
Estel,f,Catalan
Estela,f,"Portuguese, Spanish"
Estelita,f,"Portuguese, Spanish"
Estella,f,English
Estelle,f,"English, French"
'Ester,f,Biblical Hebrew
Ester,f,"Spanish, Catalan, Portuguese, Italian, Czech, Swedish, Norwegian, Danish, Icelandic, Finnish, Estonian, Hebrew"
Estera,f,"Polish, Slovak, Romanian, Lithuanian"
Estere,f,Latvian
Esteri,f,Finnish
Estevão,m,Portuguese
Estève,m,Occitan
Esteve,m,Catalan
Estevo,m,Galician
Esther,f,"English, French, Spanish, Dutch, German, Danish, Norwegian, Swedish, Jewish, Biblical, Biblical Latin, Biblical Greek"
Esthirŭ,f,Old Church Slavic
Esti 1,f,Basque (Rare)
Esti 2,f,Hebrew
Estíbaliz,f,Spanish
Estienne,m,Medieval French
Estiñe,f,Basque (Rare)
Estrella,f,Spanish
Esyllt,f,Welsh
Eszter,f,Hungarian
Eszti,f,Hungarian
Étaín,f,"Irish, Irish Mythology, Old Irish"
'Etan,m,Biblical Hebrew
Étan,f,Irish Mythology
Etel,f,Hungarian
Etela,f,Slovak
Etele,m,Hungarian
Etelka,f,Hungarian
Etelvina,f,"Spanish, Portuguese"
Etenesh,f,Amharic
Eter,f,Georgian
Eteri,f,Georgian
Ethan,m,"English, French, Biblical, Biblical Latin"
Ethel,f,English
Ethelbert,m,English (Archaic)
Etheldred,f,Medieval English
Etheldreda,f,Medieval English
Ethelfleda,f,Medieval English
Ethelinda,f,English (Archaic)
Ethelred,m,English (Archaic)
Ethelyn,f,English
Ethna,f,Irish
Ethne,f,Irish Mythology
Ethniu,f,Irish Mythology
Ethyl,f,English
Étienne,m,French
Étiennette,f,French
Etleva,f,Albanian
Etna,f,Various
Etsuko,f,Japanese
Etta,f,English
Ettie,f,English
Ettore,m,Italian
Etzel,m,Germanic Mythology
'Etzer,m,Biblical Hebrew
Eua,f,Biblical Greek
Euadne,f,Greek Mythology
Euan,m,Scottish
Euandros,m,Greek Mythology
Euanthe,f,"Ancient Greek, Greek Mythology"
Euaristos,m,Ancient Greek
Euboea,f,Greek Mythology (Latinized)
Euboia,f,Greek Mythology
Euclid,m,Ancient Greek (Anglicized)
Euclides,m,"Portuguese, Ancient Greek (Latinized)"
Eudes,m,Medieval French
Eudocia,f,Ancient Greek (Latinized)
Eudokia,f,Ancient Greek
Eudokimos,m,Ancient Greek
Eudora,f,Greek Mythology
Eudoxia,f,Ancient Greek
Eudoxos,m,Ancient Greek
Eufémia,f,"Portuguese (European, Rare)"
Eufêmia,f,"Portuguese (Brazilian, Rare)"
Eufemia,f,"Italian, Spanish"
Eufrozina,f,Hungarian (Rare)
Eugen,m,"German, Romanian, Slovak, Croatian"
Eugène,m,French
Eugene,m,English
Eugeneia,f,Ancient Greek
Eugénia,f,Portuguese (European)
Eugênia,f,Portuguese (Brazilian)
Eugenia,f,"Italian, Spanish, Romanian, Polish, English, Ancient Greek (Latinized)"
Eugénie,f,French
Eugenie,f,"German, English"
Eugenija,f,Lithuanian
Eugenijus,m,Lithuanian
Eugénio,m,Portuguese (European)
Eugênio,m,Portuguese (Brazilian)
Eugenio,m,"Italian, Spanish"
Eugenios,m,Ancient Greek
Eugenius,m,Ancient Greek (Latinized)
Eugeniusz,m,Polish
Eugraphios,m,Ancient Greek
Euhemeros,m,Ancient Greek
Euhemerus,m,Ancient Greek (Latinized)
Eukene,f,Basque
Eukleides,m,Ancient Greek
Eula,f,English
Eulália,f,"Portuguese, Slovak"
Eulàlia,f,Catalan
Eulalia,f,"Spanish, Italian, Polish, English, Ancient Greek"
Eulalie,f,French
Eulampia,f,Late Greek
Eulampios,m,Late Greek
Eulogia,f,Spanish
Eulogio,m,Spanish
Eulogios,m,Late Greek
Eulogius,m,Late Greek (Latinized)
Eumelia,f,Ancient Greek
Eun,f,Korean
Eun-gyeong,f,Korean
Eunice,f,"Biblical, English, Biblical Latin"
Eunika,f,Polish (Rare)
Eunike,f,"Biblical Greek, Ancient Greek"
Eun-jeong,f,Korean
Eun-ji,f,Korean
Eun-ju,f,Korean
Eun-jung,f,Korean
Eun-kyung,f,Korean
Eunomia,f,Greek Mythology
Eun-seo,f,Korean
Eun-u,m,Korean
Eun-woo,m,Korean
Eun-yeong,f,Korean
Eun-young,f,Korean
Euodia,f,"Ancient Greek, Biblical Greek, Biblical"
Euphemia,f,"Ancient Greek, English"
Euphemios,m,Ancient Greek
Euphranor,m,Ancient Greek
Euphrasia,f,Ancient Greek
Euphrasie,f,French
Euphrosyne,f,Greek Mythology
Eupraxia,f,Ancient Greek
Euri,f,Basque (Rare)
Euric,m,Gothic (Anglicized)
Eurico,m,Portuguese
Eurig,m,Welsh
Eurípedes,m,Portuguese
Euripides,m,Ancient Greek
Europa,f,Greek Mythology (Latinized)
Europe,f,Greek Mythology
Eurwen,f,Welsh
Euryalos,m,Greek Mythology
Euryalus,m,"Greek Mythology (Latinized), Roman Mythology"
Eurydice,f,Greek Mythology (Latinized)
Eurydike,f,Greek Mythology
Eurystheus,m,Greek Mythology
Eusebia,f,Spanish
Eusébio,m,Portuguese
Eusebio,m,"Spanish, Italian"
Eusebios,m,Late Greek
Eusebiu,m,Romanian
Eusebius,m,Late Greek (Latinized)
Eustace,m,English
Eustache,m,French
Eustachio,m,Italian
Eustachius,m,Late Roman
Eustachy,m,Polish (Archaic)
Eustachys,m,Ancient Greek
Eustacia,f,English (Rare)
Eustaquia,f,Spanish
Eustáquio,m,Portuguese (Brazilian)
Eustaquio,m,Spanish
Eustathia,f,Late Greek
Eustathios,m,Ancient Greek
Eustathius,m,Ancient Greek (Latinized)
Eustorgio,m,Italian (Rare)
Eustorgios,m,Ancient Greek
Eustorgius,m,Ancient Greek (Latinized)
Eustratios,m,Late Greek
Euterpe,f,Greek Mythology
Euthalia,f,Late Greek
Euthymia,f,Ancient Greek
Euthymios,m,Ancient Greek
Euthymius,m,Ancient Greek (Latinized)
Eutímio,m,Portuguese (Rare)
Eutimio,m,"Spanish, Italian (Rare)"
Eutropia,f,Ancient Greek
Eutropio,m,Spanish (Rare)
Eutropios,m,Ancient Greek
Eutropius,m,Ancient Greek (Latinized)
Eutychia,f,Ancient Greek
Eutychios,m,Ancient Greek
Eutychis,f,Ancient Greek
Eutychius,m,Ancient Greek (Latinized)
Eutychos,m,"Ancient Greek, Biblical Greek"
Eutychus,m,"Biblical, Biblical Latin"
Éva,f,"Hungarian, French"
Eva,f,"Spanish, Italian, Portuguese, English, Czech, Slovak, German, Dutch, Swedish, Norwegian, Estonian, Danish, Icelandic, Faroese, Romanian, Greek, Slovene, Bulgarian, Macedonian, Croatian, Serbian, Russian, Georgian, Armenian, Biblical Latin, Old Church Slavic"
Evadne,f,Greek Mythology (Latinized)
Evald,m,"Danish, Norwegian, Swedish, Estonian"
Evaldas,m,Lithuanian
Evaldo,m,Portuguese (Brazilian)
Ēvalds,m,Latvian
Evaline,f,English
Evalyn,f,English
Eva María,f,Spanish
Evan,m,"Welsh, English"
Evander 1,m,"Greek Mythology (Latinized), Roman Mythology"
Evander 2,m,Scottish
Evandro,m,Portuguese
Evandrus,m,Roman Mythology
Evangelia,f,Greek
Evangelija,f,Macedonian
Evangelina,f,"Spanish, English"
Evangeline,f,English
Evangelista,m,"Italian, Spanish, Portuguese"
Evangeliya,f,Bulgarian (Rare)
Evangelos,m,Greek
Evans,m,English (African)
Evanthe,f,Greek Mythology (Latinized)
Evanthia,f,Greek
Evarista,f,Spanish
Évariste,m,French
Evaristo,m,"Spanish, Italian, Portuguese"
Evaristus,m,Ancient Greek (Latinized)
Evdokia,f,Greek
Evdokija,f,Macedonian
Evdokiya,f,"Bulgarian, Russian"
Evdoxia,f,Greek
Ève,f,French
Eve,f,"English, Estonian, Biblical"
Eveleen,f,English (Rare)
Evelia,f,Spanish
Evelien,f,Dutch
Eveliina,f,Finnish
Evelin,f,"German, Estonian, Hungarian"
Evelína,f,"Czech, Slovak"
Evelīna,f,Latvian
Evelina,f,"English, Italian, Swedish, Lithuanian, Greek, Russian, Bulgarian"
Eveline,f,"English, French, Dutch"
Evelio,m,Spanish
Evellius,m,Late Roman
Evelyn,f,"English, German"
Évelyne,f,French
Evelynn,f,English (Modern)
Even,m,Norwegian
'Ever,m,Biblical Hebrew
Ever,m,English (Modern)
Everald,m,English (Rare)
Everaldo,m,Portuguese (Brazilian)
Everard,m,English (Rare)
Everardo,m,Spanish
Everest,m,English (Modern)
Everett,m,English
Everette,m,English
Everild,f,History (Ecclesiastical)
Everitt,m,English (Rare)
Everlee,f,English (Modern)
Everleigh,f,English (Modern)
Everly,f,English (Modern)
Evert,m,"Dutch, Swedish"
Everton,m,Portuguese (Brazilian)
Everts,m,Latvian
Evette,f,English
Evgeni,m,"Bulgarian, Georgian, Russian"
Evgenia,f,"Greek, Russian, Bulgarian"
Evgenij,m,Macedonian
Evgenija,f,Macedonian
Evgenios,m,Greek
Evgeniy,m,Russian
Evgeniya,f,"Bulgarian, Russian"
Evgeny,m,Russian
Evhen,m,Ukrainian
Evi,f,"Greek, Dutch, German"
Eviatar,m,Hebrew
Evica,f,"Croatian, Serbian"
Evie,f,English
Evija,f,Latvian
Évike,f,Hungarian (Rare)
Evîn,f,Kurdish
Evita,f,"Spanish, Latvian"
Evlampia,f,Greek
Evlogi,m,Bulgarian (Rare)
Evonne,f,English
Evpraksiya,f,Russian (Rare)
Évrard,m,French
Evren,m,Turkish
Evridiki,f,Greek
Evripidis,m,Greek
Evron,m,Hebrew (Rare)
Evvie,f,English
Evy,f,"Swedish, Norwegian, Danish, Dutch"
Evyatar,m,"Hebrew, Biblical Hebrew"
Evžen,m,Czech
Evženie,f,Czech
Ewa,f,"Polish, Swedish"
Ewald,m,"German, Dutch, Germanic"
Ewan,m,Scottish
Ewart,m,English (Rare)
Ewelina,f,Polish
Ewen,m,Scottish
Ewoud,m,Dutch
Ewout,m,Dutch
Exaltación,f,Spanish (Rare)
Expedito,m,Portuguese
Expeditus,m,Late Roman
Eyad,m,Arabic
Eyal,m,Hebrew
Eyden,m,French (Modern)
Eydís,f,"Old Norse, Icelandic"
Eylül,f,Turkish
Eymen,m,Turkish
Eyob,m,"Amharic, Tigrinya"
Eysteinn,m,"Old Norse, Icelandic"
Eytan,m,Hebrew
Eyüp,m,Turkish
Eyvindr,m,Old Norse
Eyvindur,m,Icelandic
Eyvǫr,f,Old Norse
Ezar,m,Biblical
Ezechias,m,Biblical Latin
Ezechiel,m,Biblical Latin
Ezekias,m,"Biblical Greek, Biblical"
Ezekiel,m,"Biblical, English"
Ezequiel,m,"Spanish, Portuguese"
Ezer 1,m,Biblical
Ezer 2,m,"Biblical, Biblical Hebrew"
Ezgi,f,Turkish
Ezhil,m,Tamil
Ezio,m,Italian
Eziz,m,Turkmen
'Ezra,m,Biblical Hebrew
Ezra,m,"English, Hebrew, Biblical"
Ezrah,m,English (Modern)
Ezras,m,Biblical Latin
Eztebe,m,Basque (Rare)
Faarax,m,Somali
Faas,m,Dutch
Fábia,f,Portuguese
Fabia,f,"Italian, Ancient Roman"
Fabià,m,Catalan
Fábián,m,Hungarian
Fabián,m,Spanish
Fabian,m,"German, Dutch, Polish, Romanian, English"
Fabiana,f,"Italian, Spanish, Portuguese, Ancient Roman"
Fabiane,f,Portuguese (Brazilian)
Fabiano,m,"Italian, Portuguese"
Fabianus,m,Ancient Roman
Fabien,m,French
Fabienne,f,French
Fabijan,m,"Croatian, Slovene"
Fábio,m,Portuguese
Fabio,m,"Italian, Spanish"
Fabíola,f,Portuguese
Fabiola,f,"Italian, Spanish, Ancient Roman"
Fabius,m,Ancient Roman
Fable,f,English (Rare)
Fabó,m,Hungarian (Rare)
Fabrice,m,French
Fabricia,f,Ancient Roman
Fabrício,m,Portuguese
Fabricio,m,Spanish
Fabricius,m,Ancient Roman
Fabrizia,f,Italian
Fabrizio,m,Italian
Fachtna,m,"Irish, Old Irish, Irish Mythology"
Facundo,m,Spanish (Latin American)
Facundus,m,Late Roman
Faddei,m,Russian (Rare)
Faddey,m,Russian (Rare)
Fadel,m,Arabic
Fadhili,m,Swahili
Fadi,m,Arabic
Fadia,f,Arabic
Fadil,m,"Arabic, Albanian"
Fadila,f,Arabic
Fadile,f,Albanian
Faɗimatu,f,Hausa
Fadime,f,Turkish
Fadl,m,Arabic
Fadumo,f,Somali
Fadwa,f,Arabic
Fadzai,f,Shona
Fae,f,English
Fáelán,m,Old Irish
Fahd,m,Arabic
Faheem,m,"Arabic, Urdu"
Fahim,m,Arabic
Fahima,f,Arabic
Fahimeh,f,Persian
Fahmida,f,"Bengali, Urdu"
Fahri,m,Turkish
Fahriye,f,Turkish
Faiga,f,Yiddish
Faigel,f,Yiddish (Rare)
Faina,f,Russian
Fairuz,f,"Arabic, Malay"
Fairuza,f,Arabic (Rare)
Faisal,m,"Arabic, Urdu, Bengali, Malay, Indonesian"
Faith,f,English
Faithe,f,English (Rare)
Faivish,m,Yiddish (Rare)
Faiz 1,m,"Arabic, Malay, Indonesian"
Faiz 2,m,Urdu
Faiza,f,"Arabic, Urdu"
Faizel,m,Arabic
Fajr,f,Arabic
Fajra,f,Esperanto
Fakhri,m,Arabic
Fakhriyya,f,Arabic
Falk,m,German
Fallon,f,English (Modern)
Famke,f,"Frisian, Dutch"
Fancy,f,English (Rare)
Fane,m,Romanian (Rare)
Fang,f,Chinese
Fani,f,Greek
Fannar,m,Icelandic
Fanni,f,"Finnish, Hungarian"
Fannie,f,English
Fanny,f,"English, French, Spanish, Swedish"
Fantine,f,Literature
Faolán,m,Irish (Rare)
Farag,m,Arabic
Fərəh,f,Azerbaijani
Farah,f,"Arabic, Persian, Urdu, Malay"
Farahild,f,Germanic
Farai,m,Shona
Faraj,m,Arabic
Faraji,m,Swahili
Faramond,m,History
Faramund,m,Germanic
Farangis,f,"Persian Mythology, Tajik"
Fareed,m,"Arabic, Urdu"
Fareeha,f,"Arabic, Urdu"
Fares,m,Arabic
Fərhad,m,Azerbaijani
Farhad,m,Persian
Farhan,m,"Arabic, Urdu, Bengali, Malay, Indonesian"
Farhana,f,"Arabic, Urdu, Bengali, Malay"
Farhod,m,"Uzbek, Tajik"
Fariba,f,Persian
Fərid,m,Azerbaijani
Farid,m,"Arabic, Persian, Urdu, Bengali"
Färidä,f,Tatar
Fəridə,f,Azerbaijani
Farida,f,"Arabic, Urdu, Indonesian, Bengali, Tatar, Bashkir"
Farideh,f,Persian
Faridoon,m,Persian
Faridun,m,Tajik
Fariha,f,"Arabic, Urdu"
Faris,m,"Arabic, Bosnian, Malay, Indonesian"
Färit,m,"Tatar, Bashkir"
Färiźä,f,Bashkir
Farjana,f,Bengali
Farkhod,m,"Uzbek (Russified), Tajik (Russified)"
Farley,m,English (Rare)
Faro,m,Germanic
Faroald,m,Germanic
Farohildis,f,Germanic (Latinized)
Faron,m,"French (Archaic), English"
Farooq,m,"Arabic, Urdu"
Farouk,m,Arabic
Farquhar,m,Scottish
Farrah,f,Arabic
Farrell,m,English
Farrokh,m,Persian
Farruh,m,Uzbek
Farrukh,m,"Urdu, Tajik, Uzbek (Russified)"
Farrux,m,Uzbek (Russified)
Farshad,m,Persian
Farshid,m,Persian
Faruk,m,"Turkish, Bosnian, Arabic"
Faruq,m,Arabic
Farxod,m,Uzbek (Russified)
Farzad,m,Persian
Farzana,f,"Pashto, Urdu, Bengali"
Farzaneh,f,Persian
Farzona,f,Tajik
Fastúlfr,m,Old Norse
Fatbardh,m,Albanian
Fatbardha,f,Albanian
Fateh,m,"Urdu, Azerbaijani"
Fatema,f,"Arabic, Bengali"
Fatemah,f,Arabic
Fatemeh,f,Persian
Faten,f,Arabic
Fathi,m,Arabic
Fathima,f,"Indian (Muslim), Malayalam, Sinhalese"
Fathimath,f,Dhivehi
Fathiyya,f,Arabic
Fatih,m,"Turkish, Arabic"
Fatiha,f,Arabic (Maghrebi)
Fátima,f,"Portuguese, Spanish"
Fàtima,f,Catalan
Fatima,f,"Arabic, Urdu, Bosnian, Kyrgyz, Hausa"
Fatimə,f,Azerbaijani
Fatima az-Zahra,f,Arabic
Fatimah,f,"Arabic, Malay, Indonesian"
Fatimata,f,Western African
Fatimatou,f,Western African
Fatima Zahra,f,Arabic (Maghrebi)
Fatime,f,Albanian
Fatimé,f,Central African
Fatin 1,f,"Arabic, Malay"
Fatin 2,m,Arabic
Fatjon,m,Albanian
Fatma,f,"Arabic, Turkish, Azerbaijani, Kurdish"
Fatmanur,f,Turkish
Fatmir,m,Albanian
Fatmire,f,Albanian
Fatos,m,Albanian
Fatoş,f,Turkish
Fatou,f,Western African
Fatoumata,f,Western African
Fatsani,m,Chewa
Fatuma,f,Eastern African
Fauna,f,Roman Mythology
Faunus,m,Roman Mythology
Faust,m,Literature
Fausta,f,"Italian, Ancient Roman"
Faustin,m,French
Faustina,f,"Ancient Roman, Italian, Spanish, Portuguese"
Faustine,f,French
Faustino,m,"Spanish, Italian, Portuguese"
Faustinus,m,Ancient Roman
Fausto,m,"Italian, Spanish, Portuguese"
Faustus,m,Ancient Roman
Faustyna,f,Polish
Favour,m,English (African)
Fawn,f,English
Fawzi,m,Arabic
Fawzia,f,"Arabic, Urdu"
Fawziya,f,Arabic
Fawziyya,f,Arabic
Fəxri,m,Azerbaijani
Fay,f,English
Faye,f,English
Fayez,m,Arabic
Fayiz,m,Arabic
Fayruz,f,Arabic
Faysal,m,"Arabic, Turkish, Bengali, Urdu"
Fayvel,m,Yiddish (Rare)
Fayza,f,Arabic
Fazal,m,"Urdu, Pashto"
Fazel,m,Persian
Fazıl,m,Turkish
Fazl,m,Arabic
Fe,f,Spanish
Fearchar,m,Scottish Gaelic
Feardorcha,m,Irish (Rare)
Fearghal,m,Irish
Fearghas,m,"Irish, Scottish Gaelic, Irish Mythology"
Fearghus,m,Irish
Febe,f,"Dutch, Italian, Spanish (Rare), Portuguese (Rare)"
Febronia,f,Late Roman
Féchín,m,Old Irish
Fedde,m,Frisian
Fedele,m,Italian
Fedelm,f,"Irish Mythology, Old Irish"
Fedelma,f,Irish (Rare)
Fedelmid,m,"Old Irish, Irish Mythology"
Federica,f,Italian
Federico,m,"Spanish, Italian"
Federigo,m,Italian (Archaic)
Fedir,m,Ukrainian
Fedlimid,m,"Old Irish, Irish Mythology"
Fedor,m,Russian
Fedora,f,"Russian (Rare), Italian"
Fedot,m,Russian
Fedya,m,Russian
Fehim,m,Turkish
Fehime,f,Turkish
Féichín,m,Old Irish
Feidelm,f,Irish Mythology
Feidhelm,f,Irish Mythology
Feidhlim,m,Irish
Feidhlimidh,m,Irish (Rare)
Feidlimid,m,"Old Irish, Irish Mythology"
Feige,f,Yiddish
Feilim,m,Irish
Feivel,m,Yiddish (Rare)
Feivush,m,Yiddish (Rare)
Félagi,m,Old Norse
Felecia,f,"English, African American"
Felice,m,Italian
Felícia,f,"Hungarian, Portuguese"
Felicia,f,"English, Italian, Spanish, Romanian, Dutch, Swedish, Late Roman"
Felician,m,"Romanian, Late Roman (Anglicized)"
Feliciana,f,"Spanish, Italian, Late Roman"
Feliciano,m,"Spanish, Portuguese, Italian"
Felicianus,m,Late Roman
Felicidad,f,Spanish
Felicidade,f,Portuguese
Félicie,f,French
Felicie,f,German (Rare)
Félicien,m,French
Félicienne,f,French
Felicita,f,Italian
Felicitás,f,Hungarian (Rare)
Felicitas,f,"Late Roman, Roman Mythology, German, Spanish"
Félicité,f,French
Felicity,f,English
Felicius,m,Late Roman
Felicja,f,Polish
Felicjan,m,Polish
Felicyta,f,Polish (Rare)
Feliks,m,"Russian, Slovene, Polish"
Felim,m,Irish
Felina,f,Late Roman
Feline,f,Dutch
Felinus,m,Late Roman
Felip,m,Catalan
Felipa,f,Spanish
Felipe,m,"Spanish, Portuguese (Brazilian)"
Felipinho,m,Portuguese (Brazilian)
Felisa,f,Spanish
Felisha,f,"English (Modern), African American (Modern)"
Feliu,m,Catalan (Rare)
Félix,m,"French, Spanish, Portuguese, Hungarian"
Felix,m,"German, Dutch, Swedish, Norwegian, Danish, English, Romanian, Ancient Roman, Biblical, Biblical Latin"
Felizitas,f,German
Femi,m,Yoruba
Femie,f,English (Rare)
Femke,f,"Frisian, Dutch"
Femme,m,Frisian
Fen 1,f,Chinese
Fen 2,m,Frisian
Fenella,f,Scottish
Fengying,f,Chinese
Fenna,f,"Frisian, Dutch"
Fenne,f,"Frisian, Dutch"
Fenrir,m,Norse Mythology
Fenton,m,English
Feodor,m,Russian (Archaic)
Feodora,f,Russian (Rare)
Feodosiy,m,"Russian (Rare), Ukrainian (Rare)"
Feodosiya,f,Russian (Rare)
Feofan,m,Russian (Archaic)
Feofil,m,Russian (Archaic)
Feofilakt,m,Russian (Rare)
Ferapont,m,Russian (Rare)
Feras,m,Arabic
Feray,f,Turkish
Ferchar,m,Old Irish
Ferdi,m,"German, Dutch"
Ferdie,m,English
Ferdinánd,m,Hungarian
Ferdinand,m,"German, French, Dutch, English, Slovak, Czech, Slovene, Croatian"
Ferdinanda,f,Italian
Ferdinando,m,Italian
Ferdo,m,"Slovene, Croatian"
Ferdous,m,Bengali
Ferdousi,f,Bengali
Ferdowsi,m,History
Ferdy,m,English
Ferdynand,m,Polish
Ferenc,m,Hungarian
Fereshteh,f,Persian
Fereydoon,m,Persian
Fereydoun,m,"Persian, Persian Mythology"
Fereydun,m,"Persian, Persian Mythology"
Fergal,m,"Irish, Old Irish"
Fergie,m,Scottish
Fergus,m,"Irish, Scottish, Irish Mythology, Old Irish"
Ferhat,m,Turkish
Feri,m,Hungarian
Ferid,m,Bosnian
Feride,f,"Turkish, Albanian"
Feridun,m,Turkish
Feriha,f,Turkish
Ferit,m,Turkish
Ferkó,m,Hungarian (Rare)
Fermín,m,Spanish
Fermin,m,Basque
Fermina,f,Spanish
Fermintxo,m,Basque
Fern,f,English
Fernand,m,French
Fernanda,f,"Spanish, Portuguese, Italian"
Fernande,f,French
Fernando,m,"Spanish, Portuguese, Italian"
Fernão,m,Portuguese (Archaic)
Ferne,f,English
Feroz,m,Urdu
Feroze,m,Urdu
Ferran,m,Catalan
Ferrante,m,Medieval Italian
Ferre,m,Dutch
Ferreolus,m,Late Roman
Ferrer,m,Various
Ferruccio,m,Italian
Ferrutius,m,Late Roman
Feruza,f,Uzbek
Fester,m,Popular Culture
Festim,m,Albanian
Festus,m,"Ancient Roman, Biblical Latin, Biblical, English (African)"
Fethi,m,"Turkish, Arabic (Maghrebi)"
Fevronia,f,Greek
Fevroniya,f,"Russian (Rare), Ukrainian (Rare)"
Fevzi,m,Turkish
Fevziye,f,Turkish
Feyz,m,Persian
Feyza,f,Turkish
Ffion,f,Welsh
Fflur,f,Welsh
Ffraid,f,Welsh
Ffransis,m,Welsh
Fiachna,m,"Irish Mythology, Old Irish"
Fiachra,m,"Irish, Irish Mythology"
Fiachrae,m,"Old Irish, Irish Mythology"
Fiacre,m,French (Rare)
Fiadh,f,Irish (Modern)
Fiamma,f,Italian
Fiammetta,f,Italian
Fianna,f,Irish (Modern)
Fida,f,"Arabic, Urdu, Indonesian"
Fidan,f,"Turkish, Azerbaijani"
Fidda,f,Arabic
Fidel,m,Spanish
Fidela,f,Spanish
Fidelia,f,Spanish (Latin American)
Fidelis,m,Late Roman
Fidelma,f,Irish
Fido,m,Pet
Fieke,f,Dutch
Fien,f,Dutch
Fiene,f,Dutch
Fiera,f,Esperanto
Fiete,m,German
Fife,m,Scottish (Rare)
Fifi,f,French
Figaro,m,Literature
Fihr,m,Arabic
Fikret,m,"Turkish, Bosnian"
Fikreta,f,Bosnian
Fikri,m,"Arabic, Turkish, Indonesian"
Fikriye,f,Turkish
Fikriyya,f,Arabic
Filadelfo,m,Italian
Filat,m,Russian (Rare)
Filbert,m,English (African)
Filemón,m,Spanish (Latin American)
Filib,m,Scottish Gaelic
Filibert,m,Germanic
Filiberto,m,"Italian, Spanish"
Filimena,f,Macedonian
Filimon,m,Romanian (Rare)
Filip,m,"Swedish, Norwegian, Danish, Dutch, Czech, Slovak, Bulgarian, Polish, Croatian, Serbian, Slovene, Macedonian, Romanian, Finnish"
